trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
376,True,"{'a': 0, 'e': 0}",20,5,25.96527328879528,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,True,"{'a': 0, 'e': 0}",30,13,7.8630998416889595,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
378,True,"{'a': 0, 'e': 0}",20,12,12.268396270822208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,True,"{'a': 0, 'e': 0}",25,15,15.252727332928506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,True,"{'a': 0, 'e': 0}",20,15,10.57709928236892,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,True,"{'a': 0, 'e': 0}",20,11,12.12839030321915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,True,"{'a': 0, 'e': 0}",20,13,-41.058561652308875,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
383,True,"{'a': 0, 'e': 0}",20,13,11.142376120672894,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,True,"{'a': 0, 'e': 0}",30,12,21.529957388961268,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
385,True,"{'a': 0, 'e': 0}",35,8,42.342147528154875,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,True,"{'a': 0, 'e': 0}",25,2,-16.19908063695619,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
387,True,"{'a': 0, 'e': 0}",20,13,11.6152512878851,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,True,"{'a': 0, 'e': 0}",35,18,7.779941475355979,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
389,True,"{'a': 0, 'e': 0}",25,13,25.86898401020174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,True,"{'a': 0, 'e': 0}",25,17,13.164244547535203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,True,"{'a': 0, 'e': 0}",20,7,24.463383400930127,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,True,"{'a': 0, 'e': 0}",30,12,27.896229753625324,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,True,"{'a': 0, 'e': 0}",25,14,3.5425990492249406,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,True,"{'a': 0, 'e': 0}",30,8,-48.41940364355516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
395,True,"{'a': 0, 'e': 0}",20,0,28.104337818772958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
396,True,"{'a': 0, 'e': 0}",25,5,18.398295889074127,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,True,"{'a': 0, 'e': 0}",20,13,12.359970770592723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,True,"{'a': 0, 'e': 0}",30,10,-4.400901742495749,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
399,True,"{'a': 0, 'e': 0}",25,7,36.56862089167366,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,True,"{'a': 0, 'e': 0}",20,14,10.613149640998751,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,True,"{'a': 0, 'e': 0}",30,10,20.777253049853616,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,True,"{'a': 0, 'e': 0}",20,6,23.31247986288818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,True,"{'a': 0, 'e': 0}",25,7,-73.4336112199111,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
404,True,"{'a': 0, 'e': 0}",20,16,5.693082084479109,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,True,"{'a': 0, 'e': 0}",25,13,18.89447740663669,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,True,"{'a': 0, 'e': 0}",25,11,20.41556278931009,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,True,"{'a': 0, 'e': 0}",20,5,24.339348884224226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,True,"{'a': 0, 'e': 0}",20,14,11.542347935392275,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,True,"{'a': 0, 'e': 0}",30,13,28.300531770250288,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,True,"{'a': 0, 'e': 0}",20,8,20.280339832487634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,True,"{'a': 0, 'e': 0}",25,7,18.352869202696507,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,True,"{'a': 0, 'e': 0}",30,19,19.708936066709597,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,True,"{'a': 0, 'e': 0}",20,11,17.10016061533705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,True,"{'a': 0, 'e': 0}",20,0,30.24135834266046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
415,True,"{'a': 0, 'e': 0}",25,7,25.969307921096394,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
416,True,"{'a': 0, 'e': 0}",20,14,9.243759860910114,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,True,"{'a': 0, 'e': 0}",25,12,25.59035306658249,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,True,"{'a': 0, 'e': 0}",20,7,-15.986859942191735,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
419,True,"{'a': 0, 'e': 0}",20,7,12.879177104547038,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
