trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
221,False,"{'a': 0.01, 'e': 0.10970064851551141}",25,15,18.20965459991064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10860910882495796}",25,2,41.235399777956566,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.01, 'e': 0.10752843013579495}",20,5,28.287488346934467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.01, 'e': 0.1064585043792528}",30,13,-23.1670927595118,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
225,False,"{'a': 0.01, 'e': 0.10539922456186433}",20,10,14.055565359824822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.01, 'e': 0.104350484754765}",20,15,9.98619884265489,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.01, 'e': 0.1033121800831002}",25,13,19.02753433107361,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.10228420671553744}",30,24,8.898750488159285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.01, 'e': 0.1012664618538834}",20,6,-18.4015071353837,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.01, 'e': 0.1002588437228037}",20,2,25.82521814652046,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.09926125155964566}",20,12,14.51650463100037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.01, 'e': 0.09827358560436154}",20,6,13.305222123271777,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.01, 'e': 0.09729574708953276}",25,17,14.700117026395334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.01, 'e': 0.09632763823049303}",25,13,12.818716575468937,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09536916221554961}",20,13,14.633699297617852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09442022319630235}",30,21,21.37777291209572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.09348072627805847}",25,14,15.030635780918582,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,6,20.685227248276835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,10,5.333402814810618,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.09071795328941251}",25,14,18.790388766771756,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.08981529457224763}",30,17,15.566363070431414,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08892161745938634}",30,12,26.63809054479981,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08803683258237255}",25,8,17.248238879253744,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.0871608514619813}",30,19,20.806542397687302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0862935864993705}",20,0,22.089571685586645,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,5,26.363074452533123,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08458485900156469}",20,10,17.682547081348083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
